Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Otras actividades de telecomunicaciones,MEDELLIN,ANTIOQUIA,CARRERA 50 C 10 SUR 140 TERC,http://empresite.eleconomistaamerica.co/INTELIGENCIA-TECNOLOGICA-SAS.html,INTELIGENCIA TECNOLOGICA S A S,INTELIGENCIA-ARTIFICIAL,3108456098
Otras actividades de servicio de apoyo a las empresas n c p,MEDELLIN,ANTIOQUIA,CALLE 37 63 51,http://empresite.eleconomistaamerica.co/INTELIGENCIA-AEREA-UAV-SAS.html,INTELIGENCIA AEREA UAV S A S,INTELIGENCIA-ARTIFICIAL,3206501890
Otras actividades de servicios personales n c p,MEDELLIN,ANTIOQUIA,CL 17 A SUR 48 69 APTO 414,http://empresite.eleconomistaamerica.co/INTELIGENCIA-MANDRIL-SAS.html,INTELIGENCIA MANDRIL S A EN LIQUIDACION,INTELIGENCIA-ARTIFICIAL,(4)2852591
Estudios de mercado y realizacion de encuestas de opinion publica,MEDELLIN,ANTIOQUIA,CALLE 32 B 79A 24,http://empresite.eleconomistaamerica.co/INTELIGENCIA-MERCADEO-LTDA.html,INTELIGENCIA Y MERCADEO LTDA,INTELIGENCIA-ARTIFICIAL,(4)2389154
Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,CALLE 38 B 45 C 7,http://empresite.eleconomistaamerica.co/INTELIGENCIA-MOVIL-LTDA.html,INTELIGENCIA MOVIL S A S,INTELIGENCIA-ARTIFICIAL,(4)4480726
Procesamiento de datos alojamiento (hosting) y actividades relacionadas,MEDELLIN,ANTIOQUIA,CALLE 34 63 B 72 OF 403,http://empresite.eleconomistaamerica.co/INTELIGENCIA-CONTABLE-SAS.html,INTELIGENCIA CONTABLE S A S,INTELIGENCIA-ARTIFICIAL,(4)6312631
Procesamiento de datos alojamiento (hosting) y actividades relacionadas,MEDELLIN,ANTIOQUIA,CARRERA 43 49 44 INT 405,http://empresite.eleconomistaamerica.co/INTELIGENCIA-DOCUMENTAL-EU.html,INTELIGENCIA DOCUMENTAL E U EN LIQUIDACION,INTELIGENCIA-ARTIFICIAL,(4)2177960
Educacion basica secundaria,LA ESTRELLA,ANTIOQUIA,CALLE 101 SUR VIA TABLAZA,http://empresite.eleconomistaamerica.co/INTELIGENCIAS-MULTIPLES-LTDA.html,INTELIGENCIAS MULTIPLES LTDA,INTELIGENCIA-ARTIFICIAL,(4)3387455
Otras actividades de tecnologias de informacion y actividades de servicios informaticos,MEDELLIN,ANTIOQUIA,CARRERA 79 37 48 OF 202,http://empresite.eleconomistaamerica.co/INTELIGENCIA-EMPRESARIAL-88-SAS.html,INTELIGENCIA EMPRESARIAL 88 S A S,INTELIGENCIA-ARTIFICIAL,(4)4122334
Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CARRERA 77 39 A 92,http://empresite.eleconomistaamerica.co/INTELIGENCIA-INNOVACION-DESDE-LO-HUMANO-SAS.html,INTELIGENCIA E INNOVACION DESDE LO HUMANO S A S,INTELIGENCIA-ARTIFICIAL,(4)4111041
Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,MEDELLIN,ANTIOQUIA,CARRERA 75 A 90 01,http://empresite.eleconomistaamerica.co/INTELIGENCIA-BIOMECATRONICA-SAS.html,INTELIGENCIA BIOMECATRONICA S A S,INTELIGENCIA-ARTIFICIAL,(4)2575076
Actividades reguladoras y facilitadoras de la actividad economica,MEDELLIN,ANTIOQUIA,CARRERA 76 34 A 27,http://empresite.eleconomistaamerica.co/INTELIGENCIA-GERENCIA-COMERCIAL-COLOMBIA-SA.html,INTELIGENCIA EN GERENCIA COMERCIAL DE COLOMBIA S A,INTELIGENCIA-ARTIFICIAL,(4)2504973
Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CALLE 51 84 199 INT 104,http://empresite.eleconomistaamerica.co/INTELIGENCIA-EMPRESARIAL-SAS-ANTIOQUIA.html,CON INTELIGENCIA EMPRESARIAL S A S,INTELIGENCIA-ARTIFICIAL,(4)4217237
